,Predictor,count,weight,min_coeff,max_coeff,median_coeff,weight_coeff,,C1,C2
70,DNAJB13,2,1.748157102,0.028338055,0.047056382,0.037697218,0.000632346,,,
71,MTCP1NB,3,2.635697819,-0.039709322,-0.000877213,-0.031768897,-0.000613888,,,
72,AW138182,1,1.231949132,-0.047216839,-0.047216839,-0.047216839,-0.000581687,,,
73,UGT2B7,1,1.104176371,0.051345836,0.051345836,0.051345836,0.000566949,,,
74,LOC646862,1,0.844236176,0.065435259,0.065435259,0.065435259,0.000552428,,,
75,BC038752,1,1.148252129,-0.047418294,-0.047418294,-0.047418294,-0.000544482,,,
76,PGF,2,1.918393015,0.010038605,0.039316692,0.024677649,0.000540036,,,
77,BF511041,1,1.186743494,-0.044772181,-0.044772181,-0.044772181,-0.000531331,,,
78,TAS2R5,1,0.9228015,0.057524291,0.057524291,0.057524291,0.000530835,,,
79,U79300,1,1.131631156,0.046555594,0.046555594,0.046555594,0.000526838,,,
80,CHEK2,1,0.959293729,-0.054257173,-0.054257173,-0.054257173,-0.000520486,,,
81,CB047305,2,1.824270262,-0.039165334,-0.017557835,-0.028361585,-0.000509667,,,
82,ATP6V1F,2,1.751119044,-0.039751777,-0.015979305,-0.027865541,-0.000501728,,,
83,BX109176,1,1.07201392,-0.046245343,-0.046245343,-0.046245343,-0.000495757,,,
84,C3orf31,1,0.871970454,-0.056760525,-0.056760525,-0.056760525,-0.000494935,,,
85,C10orf113,1,0.731649521,0.067276292,0.067276292,0.067276292,0.000492227,,,
86,MKNK2,2,1.762298732,0.01659125,0.043473194,0.030032222,0.000491555,,,
87,FIP1L1,2,1.549287707,0.008240631,0.050880727,0.029560679,0.000476313,,,
88,SDF2L1,1,1.016507581,-0.04644411,-0.04644411,-0.04644411,-0.000472108,,,
89,STRN,1,0.922287998,0.048796554,0.048796554,0.048796554,0.000450045,,,
90,LRRC27,1,0.9228015,-0.048486845,-0.048486845,-0.048486845,-0.000447437,,,
91,VCX3A,1,1.104176371,-0.039979337,-0.039979337,-0.039979337,-0.000441442,,,
92,ZNF585A,1,1.021402177,0.041227551,0.041227551,0.041227551,0.000421099,,,
93,RAB3GAP1,1,0.955218766,0.04287051,0.04287051,0.04287051,0.000409507,,,
94,KBTBD5,1,0.727767108,0.056142737,0.056142737,0.056142737,0.000408588,,,
95,BP424073,1,0.955218766,0.040536152,0.040536152,0.040536152,0.000387209,,,
96,CAMKMT,3,2.880800441,0.001076732,0.020740569,0.018356,0.000379293,,,
97,BX097352,1,0.803132362,0.042754062,0.042754062,0.042754062,0.000343372,,,
98,AI732555,1,1.184699895,0.028745804,0.028745804,0.028745804,0.000340552,,,
99,BG196393,1,0.731649521,-0.045604756,-0.045604756,-0.045604756,-0.000333667,,,
100,IGF2AS,1,1.186743494,-0.026026738,-0.026026738,-0.026026738,-0.000308871,,,
101,TP53BP1,1,1.07201392,0.027244998,0.027244998,0.027244998,0.00029207,,,
102,ST6GALNAC1,1,1.021402177,0.027315285,0.027315285,0.027315285,0.000278999,,,
103,MORN5,1,1.231949132,0.022609418,0.022609418,0.022609418,0.000278537,,,
104,BF573640,1,0.740896555,0.035837273,0.035837273,0.035837273,0.000265517,,,
105,HNRNPF,1,0.876385021,-0.02993344,-0.02993344,-0.02993344,-0.000262332,,,
106,FAM19A1,1,1.07201392,-0.023623593,-0.023623593,-0.023623593,-0.000253248,,,
107,BC073918,1,0.856709626,-0.027608211,-0.027608211,-0.027608211,-0.000236522,,,
108,FIGN,1,0.955218766,0.024017016,0.024017016,0.024017016,0.000229415,,,
109,MTRNR2L1,1,0.922287998,-0.024061816,-0.024061816,-0.024061816,-0.000221919,,,
110,BQ219285,1,0.809444947,-0.02683626,-0.02683626,-0.02683626,-0.000217225,,,
111,OR10G8,1,0.731649521,-0.029211522,-0.029211522,-0.029211522,-0.000213726,,,
112,BQ185068,1,1.231949132,-0.017151733,-0.017151733,-0.017151733,-0.000211301,,,
113,EML1,1,0.933480857,0.022329858,0.022329858,0.022329858,0.000208445,,,
114,RGS19,1,0.9228015,-0.021300565,-0.021300565,-0.021300565,-0.000196562,,,
115,ADH4,1,0.731649521,0.026313254,0.026313254,0.026313254,0.000192521,,,
116,CA392666,2,1.616228296,-0.018646625,-0.004184562,-0.011415594,-0.000173444,,,
117,AI554028,1,0.803132362,0.021578409,0.021578409,0.021578409,0.000173303,,,
118,AI792661,1,1.104176371,0.014458878,0.014458878,0.014458878,0.000159652,,,
119,BX099391,1,0.731649521,-0.021483298,-0.021483298,-0.021483298,-0.000157182,,,
120,ABCB10,1,0.727767108,-0.021309982,-0.021309982,-0.021309982,-0.000155087,,,
121,C2orf69,1,0.817638187,-0.017926561,-0.017926561,-0.017926561,-0.000146574,,,
122,C17orf82,1,0.930397126,-0.015704972,-0.015704972,-0.015704972,-0.000146119,,,
123,KPNA7,1,0.876385021,-0.016348508,-0.016348508,-0.016348508,-0.000143276,,,
124,AI418422,1,0.727767108,-0.01937829,-0.01937829,-0.01937829,-0.000141029,,,
125,SLC34A1,1,0.955218766,-0.01313519,-0.01313519,-0.01313519,-0.00012547,,,
126,CD34,1,1.058114715,0.011460846,0.011460846,0.011460846,0.000121269,,,
127,SLC10A2,1,1.186743494,0.00914856,0.00914856,0.00914856,0.00010857,,,
128,OBFC1,1,1.058114715,-0.010214506,-0.010214506,-0.010214506,-0.000108081,,,
129,TP73-AS1,1,0.731649521,0.014465071,0.014465071,0.014465071,0.000105834,,,
130,SERPINE1,1,1.016507581,0.009783509,0.009783509,0.009783509,9.95E-05,,,
131,LCE3B,1,1.201749251,-0.007507818,-0.007507818,-0.007507818,-9.02E-05,,,
132,PRKAA1,1,0.99443635,0.008278684,0.008278684,0.008278684,8.23E-05,,,
133,CCNI,1,0.933480857,0.008526271,0.008526271,0.008526271,7.96E-05,,,
134,MRPS33,1,0.959293729,-0.008123767,-0.008123767,-0.008123767,-7.79E-05,,,
135,LOC100288139,1,1.131631156,-0.006611572,-0.006611572,-0.006611572,-7.48E-05,,,
136,RRAD,1,1.201749251,0.005480438,0.005480438,0.005480438,6.59E-05,,,
137,FLJ16423,1,1.016507581,-0.005937263,-0.005937263,-0.005937263,-6.04E-05,,,
138,ZMAT5,1,0.922287998,-0.006461405,-0.006461405,-0.006461405,-5.96E-05,,,
139,BX117006,1,1.131631156,-0.005125163,-0.005125163,-0.005125163,-5.80E-05,,,
140,GALK1,1,0.947885241,-0.005185018,-0.005185018,-0.005185018,-4.91E-05,,,
141,PSG5,1,0.803132362,-0.005932094,-0.005932094,-0.005932094,-4.76E-05,,,
142,SIK3,1,1.07201392,0.003661514,0.003661514,0.003661514,3.93E-05,,,
143,VEGFA,1,0.817638187,0.004443209,0.004443209,0.004443209,3.63E-05,,,
144,ST8SIA3,1,1.131631156,-0.002934329,-0.002934329,-0.002934329,-3.32E-05,,,
145,TFDP3,1,1.104176371,-0.002752978,-0.002752978,-0.002752978,-3.04E-05,,,
146,CA438496,1,0.731649521,-0.00412994,-0.00412994,-0.00412994,-3.02E-05,,,
147,GPR68,1,0.740896555,-0.002886644,-0.002886644,-0.002886644,-2.14E-05,,,
148,CHRNA9,1,0.938867886,-0.002246837,-0.002246837,-0.002246837,-2.11E-05,,,
149,POTED,1,1.016507581,0.001588854,0.001588854,0.001588854,1.62E-05,,,
150,UGGT2,1,0.740896555,0.002027604,0.002027604,0.002027604,1.50E-05,,,
151,NR2C2AP,1,1.201749251,-0.000849423,-0.000849423,-0.000849423,-1.02E-05,,,
152,LOC220930,1,0.731649521,-0.000847435,-0.000847435,-0.000847435,-6.20E-06,,,
